Date,Time,Ch1,Ch2,Ch3,Ch4,mm,Band Temp,Board Temp,Bat Volt
2008-46-8,46:2,15,27203,1592500,1106906,0.001,140.364,24.00,3.19
2019-10-14,21:7,15,27203,1592125,1107187,0.001,140.375,24.00,3.18
2019-10-14,21:7,15,27218,1592234,1107250,0.001,140.353,24.00,3.18
2019-10-14,21:7,15,27218,1592312,1107453,0.001,140.361,24.25,3.18
2019-12-12,16:14,202703,814171,1557812,1070562,18.934,0.993,9.50,3.12
2019-12-12,16:15,202796,815484,1558640,1071312,18.930,0.920,9.00,3.12
2019-12-12,17:15,199828,813656,1557046,1056062,18.922,-0.062,0.50,3.11
2019-12-12,18:15,199906,780562,1557687,1057421,18.905,3.285,1.50,3.12
2019-12-12,19:15,200578,775390,1557812,1061828,18.890,4.077,3.00,3.12
2019-12-12,20:15,200515,783578,1556828,1061421,18.891,3.279,3.00,3.11
2019-12-12,21:15,200562,782859,1555968,1061937,18.886,3.383,3.25,3.11
2019-12-12,22:15,199953,776468,1554859,1061640,18.834,3.963,3.00,3.11
2019-12-12,23:15,199781,787453,1553703,1061328,18.824,2.904,2.75,3.11
2019-12-13,0:15,199609,787015,1552578,1060609,18.820,2.895,2.75,3.11
2019-12-13,1:15,199406,787156,1551406,1059671,18.818,2.815,2.25,3.10
2019-12-13,2:15,199312,783328,1550296,1059531,18.811,3.170,2.25,3.10
2019-12-13,3:15,199484,785468,1549187,1059437,18.829,2.960,2.25,3.10
2019-12-13,4:15,199281,801093,1548046,1058312,18.830,1.365,1.75,3.10
2019-12-13,5:15,199437,786375,1547125,1059437,18.825,2.873,2.25,3.09
2019-12-13,6:15,199406,784171,1546031,1059093,18.828,3.059,2.25,3.09
2019-12-13,7:15,199234,790437,1544859,1058531,18.822,2.418,2.00,3.09
2019-12-13,8:15,200843,773281,1544953,1066375,18.834,4.580,5.25,3.09
2019-12-13,9:15,201109,763687,1543890,1067546,18.838,5.535,6.00,3.09
2019-12-13,10:15,201031,757453,1542656,1067265,18.836,6.081,5.75,3.09
2019-12-13,11:15,201656,751859,1542187,1072187,18.808,6.892,8.75,3.08
2019-12-13,12:15,200406,747625,1540531,1068765,18.751,7.055,7.00,3.08
2019-12-13,13:15,200156,753609,1539421,1068968,18.724,6.534,6.50,3.08
2019-12-13,14:15,200687,761859,1538781,1071687,18.726,5.967,8.00,3.08
2019-12-13,15:15,199500,763031,1537109,1066437,18.707,5.523,5.25,3.07
2019-12-13,16:15,198906,778312,1535859,1063031,18.711,3.886,4.00,3.07
2019-12-13,17:15,198671,784015,1534921,1061781,18.711,3.263,3.50,3.07
